"","R/O

Sort descending","Half","Country","Participant","Song","Points","Rank","year"
"756",11,"—","Ireland","Kim Jackson","Could It Be That I'm In Love",47,"10th","1991"
"757",12,"—","Portugal","Dulce","Lusitana Paixão",62,"8th","1991"
"758",13,"—","Denmark","Anders Frandsen","Lige Der Hvor Hjertet Slår",8,"19th","1991"
"759",14,"—","Norway","Just 4 Fun","Mrs. Thompson",14,"17th","1991"
"760",15,"—","Israel","Duo Datz","Kan",139,"3rd","1991"
"761",16,"—","Finland","Kaija","Hullu Yö",6,"20th","1991"
"762",17,"—","Germany","Atlantis 2000","Dieser Traum Darf Niemals Sterben",10,"18th","1991"
"763",18,"—","Belgium","Clouseau","Geef Het Op",23,"16th","1991"
"764",19,"—","Spain","Sergio Dalma","Bailar Pegados",119,"4th","1991"
"765",20,"—","United Kingdom","Samantha Janus","A Message To Your Heart",47,"10th","1991"
"766",21,"—","Cyprus","Elena Patroclou","S.o.s.",60,"9th","1991"
"767",22,"—","Italy","Peppino di Capri","Comme E' Ddoce 'o Mare",89,"7th","1991"
"768",1,"—","Spain","Azúcar Moreno","Bandido",96,"5th","1990"
"769",2,"—","Greece","Christos Callow and Wave","Horis Skopo",11,"19th","1990"
"770",3,"—","Belgium","Philippe Lafontaine","Macédomienne",46,"12th","1990"
"771",4,"—","Türkiye","Kayahan","Gözlerinin Hapsindeyim",21,"17th","1990"
"772",5,"—","Netherlands","Maywood","Ik Wil Alles Met Je Delen",25,"15th","1990"
"773",6,"—","Luxembourg","Céline Carzo","Quand Je Te Rêve",38,"13th","1990"
"774",7,"—","United Kingdom","Emma","Give A Little Love Back To The World",87,"6th","1990"
"775",8,"—","Iceland","Stjórnin","Eitt Lag Enn",124,"4th","1990"
"776",9,"—","Norway","Ketil Stokkan","Brandenburger Tor",8,"21st","1990"
"777",10,"—","Israel","Rita","Shara Barechovot",16,"18th","1990"
"778",11,"—","Denmark","Lonnie Devantier","Hallo Hallo",64,"8th","1990"
"779",12,"—","Switzerland","Egon Egemann","Musik Klingt In Die Welt Hinaus",51,"11th","1990"
"780",13,"—","Germany","Chris Kempers and Daniel Kovac","Frei Zu Leben",60,"9th","1990"
"781",14,"—","France","Joelle Ursull","White And Black Blues",132,"2nd","1990"
"782",15,"—","Yugoslavia","Tajci","Hajde Da Ludujemo",81,"7th","1990"
"783",16,"—","Portugal","Nucha","Há Sempre Alguém",9,"20th","1990"
"784",17,"—","Ireland","Liam Reilly","Somewhere In Europe",132,"2nd","1990"
"785",18,"—","Sweden","Edin-Ådahl","Som En Vind",24,"16th","1990"
"786",19,"—","Italy","Toto Cutugno","Insieme: 1992",149,"1st","1990"
"787",20,"—","Austria","Simone","Keine Mauern Mehr",58,"10th","1990"
"788",21,"—","Cyprus","Haris Anastasiou","Milas Poli",36,"14th","1990"
"789",22,"—","Finland","Beat","Fri?",8,"21st","1990"
"790",1,"—","Italy","Anna Oxa and Fausto Leali","Avrei Voluto",56,"9th","1989"
"791",2,"—","Israel","Gili ve Galit","Derech Ha'melech",50,"12th","1989"
"792",3,"—","Ireland","Kiev Connolly and the Missing Passengers","The Real Me",21,"18th","1989"
"793",4,"—","Netherlands","Justine Pelmelay","Blijf Zoals Je Bent",45,"15th","1989"
"794",5,"—","Türkiye","Pan","Bana Bana",5,"21st","1989"
"795",6,"—","Belgium","Ingeborg","Door De Wind",13,"19th","1989"
"796",7,"—","United Kingdom","Live Report","Why Do I Always Get It Wrong",130,"2nd","1989"
"797",8,"—","Norway","Britt Synnøve Johansen","Venners Nærhet",30,"17th","1989"
"798",9,"—","Portugal","Da Vinci","Conquistador",39,"16th","1989"
"799",10,"—","Sweden","Tommy Nilsson","En Dag",110,"4th","1989"
"800",11,"—","Luxembourg","Park Café","Monsieur",8,"20th","1989"
"801",12,"—","Denmark","Birthe Kjær","Vi Maler Byen Rød",111,"3rd","1989"
"802",13,"—","Austria","Thomas Forstner","Nur Ein Lied",97,"5th","1989"
"803",14,"—","Finland","Anneli Saaristo","La Dolce Vita",76,"7th","1989"
"804",15,"—","France","Nathalie Pâque","J'ai Volé La Vie",60,"8th","1989"
"805",16,"—","Spain","Nina","Nacida Para Amar",88,"6th","1989"
"806",17,"—","Cyprus","Fanny Polymeri and Yiannis Savvidakis","Apopse As Vrethoume",51,"11th","1989"
"807",18,"—","Switzerland","Furbaz","Viver Senza Tei",47,"13th","1989"
"808",19,"—","Greece","Marianna","To Diko Sou Asteri",56,"9th","1989"
"809",20,"—","Iceland","Daníel Augúst Haraldsson","Það Sem Enginn Sér",NA,"22nd","1989"
"810",21,"—","Germany","Nino de Angelo","Flieger",46,"14th","1989"
"811",22,"—","Yugoslavia","Riva","Rock Me",137,"1st","1989"
"812",1,"—","Iceland","Beathoven","Sókrates",20,"16th","1988"
"813",2,"—","Sweden","Tommy Körberg","Stad I Ljus",52,"12th","1988"
"814",3,"—","Finland","Boulevard","Nauravat Silmät Muistetaan",3,"20th","1988"
"815",4,"—","United Kingdom","Scott Fitzgerald","Go",136,"2nd","1988"
"816",5,"—","Türkiye","MFÖ","Sufi (hey Ya Hey)",37,"15th","1988"
"817",6,"—","Spain","La Década","La Chica Que Yo Quiero (made In Spain)",58,"11th","1988"
"818",7,"—","Netherlands","Gerard Joling","Shangri-la",70,"9th","1988"
"819",8,"—","Israel","Yardena Arazi","Ben Adam",85,"7th","1988"
"820",9,"—","Switzerland","Céline Dion","Ne Partez Pas Sans Moi",137,"1st","1988"
"821",10,"—","Ireland","Jump the Gun","Take Him Home",79,"8th","1988"
"822",11,"—","Germany","Maxi and Chris Garden","Lied Für Einen Freund",48,"14th","1988"
"823",12,"—","Austria","Wilfried","Lisa Mona Lisa",NA,"21st","1988"
"824",13,"—","Denmark","Hot Eyes","Ka' Du Se Hva' Jeg Sa'",92,"3rd","1988"
"825",14,"—","Greece","Aphroditi Fryda","Kloun",10,"17th","1988"
"826",15,"—","Norway","Karoline Krüger","For Vår Jord",88,"5th","1988"
"827",16,"—","Belgium","Reynaert","Laissez Briller Le Soleil",5,"18th","1988"
"828",17,"—","Luxembourg","Lara Fabian","Croire",90,"4th","1988"
"829",18,"—","Italy","Luca Barbarossa","Ti Scrivo",52,"12th","1988"
"830",19,"—","France","Gérard Lenorman","Chanteur De Charme",64,"10th","1988"
"831",20,"—","Portugal","Dora","Voltarei",5,"18th","1988"
"832",21,"—","Yugoslavia","Srebrna Krila","Mangup",87,"6th","1988"
"833",1,"—","Norway","Kate Gulbrandsen","Mitt Liv",65,"9th","1987"
"834",2,"—","Israel","Datner and Kushnir","Shir Habatlanim",73,"8th","1987"
"835",3,"—","Austria","Gary Lux","Nur Noch Gefühl",8,"20th","1987"
"836",4,"—","Iceland","Halla Margarét","Hægt Og Hljótt",28,"16th","1987"
"837",5,"—","Belgium","Liliane Saint-Pierre","Soldiers Of Love",56,"11th","1987"
"838",6,"—","Sweden","Lotta Engberg","Boogaloo",50,"12th","1987"
"839",7,"—","Italy","Umberto Tozzi and Raf","Gente Di Mare",103,"3rd","1987"
"840",8,"—","Portugal","Nevada","Neste Barco à Vela",15,"18th","1987"
"841",9,"—","Spain","Patricia Kraus","No Estás Solo",10,"19th","1987"
"842",10,"—","Türkiye","Seyyal Tanner and Lokomotif","Sarkim Sevgi üstüne",NA,"22nd","1987"
"843",11,"—","Greece","Bang","Stop!",64,"10th","1987"
"844",12,"—","Netherlands","Marcha","Rechtop In De Wind",83,"5th","1987"
"845",13,"—","Luxembourg","Plastic Bertrand","Amour Amour",4,"21st","1987"
"846",14,"—","United Kingdom","Rikki","Only The Light",47,"13th","1987"
"847",15,"—","France","Christine Minier","Les Mots D'amour N'ont Pas De Dimanche",44,"14th","1987"
"848",16,"—","Germany","Wind","Laß Die Sonne In Dein Herz",141,"2nd","1987"
"849",17,"—","Cyprus","Alexia","Aspro Mavro",80,"7th","1987"
"850",18,"—","Finland","Vicky Rosti","Sata Salamaa",32,"15th","1987"
"851",19,"—","Denmark","Anne-Catherine Herdorf and Bandjo","En Lille Melodi",83,"5th","1987"
"852",20,"—","Ireland","Johnny Logan","Hold Me Now",172,"1st","1987"
"853",21,"—","Yugoslavia","Novi Fosili","Ja Sam Za Ples",92,"4th","1987"
"854",22,"—","Switzerland","Carole Rich","Moitié Moitié",26,"17th","1987"
"855",1,"—","Luxembourg","Sherisse Laurence","L'amour De Ma Vie",117,"3rd","1986"
"856",2,"—","Yugoslavia","Doris Dragovic","Zeljo Moja",49,"11th","1986"
"857",3,"—","France","Cocktail Chic","Européennes",13,"17th","1986"
"858",4,"—","Norway","Ketil Stokkan","Romeo",44,"12th","1986"
"859",5,"—","United Kingdom","Ryder","Runner In The Night",72,"7th","1986"
"860",6,"—","Iceland","Icy","Gleðibankinn",19,"16th","1986"
"861",7,"—","Netherlands","Frizzle Sizzle","Alles Heeft Ritme",40,"13th","1986"
"862",8,"—","Türkiye","Klips ve Onlar","Halley",53,"9th","1986"
"863",9,"—","Spain","Cadillac","Valentino",51,"10th","1986"
"864",10,"—","Switzerland","Daniela Simons","Pas Pour Moi",140,"2nd","1986"
"865",11,"—","Israel","Moti Galadi and Sarai Tzuriel","Yavoh Yom",7,"19th","1986"
"866",12,"—","Ireland","Luv Bug","You Can Count On Me",96,"4th","1986"
"867",13,"—","Belgium","Sandra Kim","J'aime La Vie",176,"1st","1986"
"868",14,"—","Germany","Ingrid Peters","Über Die Brücke Geh'n",62,"8th","1986"
"869",15,"—","Cyprus","Elpida","Tora Zo",4,"20th","1986"
"870",16,"—","Austria","Timna Brauer","Die Zeit Ist Einsam",12,"18th","1986"
"871",17,"—","Sweden","Lasse Holm and Monica Törnell","E' De' Det Här Du Kallar Kärlek",78,"5th","1986"
"872",18,"—","Denmark","Lise Haavik and Trax","Du Er Fuld Af Løgn",77,"6th","1986"
"873",19,"—","Finland","Kari Kuivalainen","Päivä Kahden Ihmisen",22,"15th","1986"
"874",20,"—","Portugal","Dora","Não Sejas Mau Para Mim",28,"14th","1986"
"875",1,"—","Ireland","Maria Christian","Wait Until The Weekend Comes",91,"6th","1985"
"876",2,"—","Finland","Sonja Lumme","Eläköön Elämä",58,"9th","1985"
"877",3,"—","Cyprus","Lia Vishy","To Katalava Arga",15,"16th","1985"
"878",4,"—","Denmark","Hot Eyes","Sku' Du Spør Fra No'n",41,"11th","1985"
"879",5,"—","Spain","Paloma San Basilio","La Fiesta Terminó",36,"14th","1985"
"880",6,"—","France","Roger Bens","Femme Dans Ses Rêves Aussi",56,"10th","1985"
"881",7,"—","Türkiye","MFÖ","Di Dai Di Dai Dai (a'sik Oldum)",36,"14th","1985"
"882",8,"—","Belgium","Linda Lepomme","Laat Me Nu Gaan",7,"19th","1985"
"883",9,"—","Portugal","Adelaïde","Penso Em Ti, Eu Sei",9,"18th","1985"
"884",10,"—","Germany","Wind","Für Alle",105,"2nd","1985"
"885",11,"—","Israel","Izhar Cohen","Olé Olé",93,"5th","1985"
"886",12,"—","Italy","Al Bano and Romina Power","Magic, Oh Magic",78,"7th","1985"
"887",13,"—","Norway","Bobbysocks","La Det Swinge",123,"1st","1985"
"888",14,"—","United Kingdom","Vikki","Love Is...",100,"4th","1985"
"889",15,"—","Switzerland","Mariella Farré and Pino Gasparini","Piano Piano",39,"12th","1985"
"890",16,"—","Sweden","Kikki Danielsson","Bra Vibrationer",103,"3rd","1985"
"891",17,"—","Austria","Gary Lux","Kinder Dieser Welt",60,"8th","1985"
"892",18,"—","Luxembourg","Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Malcolm Roberts and Chris Roberts","Children, Kinder, Enfants",37,"13th","1985"
"893",19,"—","Greece","Takis Biniaris","Miazoume",15,"16th","1985"
"894",1,"—","Sweden","Herrey's","Diggi-loo Diggy-ley",145,"1st","1984"
"895",2,"—","Luxembourg","Sophie Carle","100% D'amour",39,"10th","1984"
"896",3,"—","France","Annick Thoumazeau","Autant D'amoureux Que D'étoiles",61,"8th","1984"
"897",4,"—","Spain","Bravo","Lady, Lady",106,"3rd","1984"
"898",5,"—","Norway","Dollie de Luxe","Lenge Leve Livet",29,"17th","1984"
"899",6,"—","United Kingdom","Belle and the Devotions","Love Games",63,"7th","1984"
"900",7,"—","Cyprus","Andy Paul","Anna Mari-elena",31,"15th","1984"
"901",8,"—","Belgium","Jacques Zegers","Avanti La Vie",70,"5th","1984"
"902",9,"—","Ireland","Linda Martin","Terminal '3'",137,"2nd","1984"
"903",10,"—","Denmark","Hot Eyes","Det' Lige Det",101,"4th","1984"
"904",11,"—","Netherlands","Maribelle","Ik Hou Van Jou",34,"13th","1984"
"905",12,"—","Yugoslavia","Vlado and Isolda","Ciao Amore",26,"18th","1984"
"906",13,"—","Austria","Anita","Einfach Weg",5,"19th","1984"
"907",14,"—","Germany","Mary Roos","Aufrecht Geh'n",34,"13th","1984"
"908",15,"—","Türkiye","Bes Yil Önce, On Yil Sonra","Halay",37,"12th","1984"
"909",16,"—","Finland","Kirka","Hengaillaan",46,"9th","1984"
"910",17,"—","Switzerland","Rainy Day","Welche Farbe Hat Der Sonnenschein",30,"16th","1984"
"911",18,"—","Italy","Alice and Battiato","I Treni Di Tozeur",70,"5th","1984"
"912",19,"—","Portugal","Maria Guinot","Silêncio E Tanta Gente",38,"11th","1984"
"913",1,"—","France","Guy Bonnet","Vivre",56,"8th","1983"
"914",2,"—","Norway","Jahn Teigen","Do Re Mi",53,"9th","1983"
"915",3,"—","United Kingdom","Sweet Dreams","I'm Never Giving Up",79,"6th","1983"
"916",4,"—","Sweden","Carola Häggkvist","Främling",126,"3rd","1983"
"917",5,"—","Italy","Riccardo Fogli","Per Lucia",41,"11th","1983"
"918",6,"—","Türkiye","Çetin Alp and the Short Wave","Opera",NA,"19th","1983"
"919",7,"—","Spain","Remedios Amaya","¿quién Maneja Mi Barca?",NA,"19th","1983"
"920",8,"—","Switzerland","Mariella Farré","Io Così Non Ci Sto",28,"15th","1983"
"921",9,"—","Finland","Ami Aspelund","Fantasiaa",41,"11th","1983"
"922",10,"—","Greece","Christie Stassinopoulou","Mou Les",32,"14th","1983"
"923",11,"—","Netherlands","Bernadette","Sing Me A Song",66,"7th","1983"
"924",12,"—","Yugoslavia","Danijel","Dzuli",125,"4th","1983"
"925",13,"—","Cyprus","Stavros and Constantina","I Agapi Akoma Zi",26,"16th","1983"
"926",14,"—","Germany","Hoffmann und Hoffmann","Rücksicht",94,"5th","1983"
"927",15,"—","Denmark","Gry Johansen","Kloden Drejer",16,"17th","1983"
"928",16,"—","Israel","Ofra Haza","Hi",136,"2nd","1983"
"929",17,"—","Portugal","Armando Gama","Esta Balada Que Te Dou",33,"13th","1983"
"930",18,"—","Austria","Westend","Hurricane",53,"9th","1983"
"931",19,"—","Belgium","Pas de Deux","Rendez-vous",13,"18th","1983"
"932",20,"—","Luxembourg","Corinne Hermès","Si La Vie Est Cadeau",142,"1st","1983"
"933",1,"—","Portugal","Doce","Bem-bom",32,"13th","1982"
"934",2,"—","Luxembourg","Svetlana","Cour Apres Le Temps",78,"6th","1982"
"935",3,"—","Norway","Jahn Teigen and Anita Skorgan","Adieu",40,"12th","1982"
"936",4,"—","United Kingdom","Bardo","One Step Further",76,"7th","1982"
"937",5,"—","Türkiye","Neço","Hani",20,"15th","1982"
"938",6,"—","Finland","Kojo","Nuku Pommiin",NA,"18th","1982"
"939",7,"—","Switzerland","Arlette Zola","Amour On T'aime",97,"3rd","1982"
"940",8,"—","Cyprus","Anna Vishy","Mono I Agapi",85,"5th","1982"
"941",9,"—","Sweden","Chips","Dag Efter Dag",67,"8th","1982"
"942",10,"—","Austria","Mess","Sonntag",57,"9th","1982"
"943",11,"—","Belgium","Stella","Si Tu Aimes Ma Musique",96,"4th","1982"
"944",12,"—","Spain","Lucía","Él",52,"10th","1982"
"945",13,"—","Denmark","Brixx","Video-video",5,"17th","1982"
"946",14,"—","Yugoslavia","Aska","Halo Halo",21,"14th","1982"
"947",15,"—","Israel","Avi Toledano","Hora",100,"2nd","1982"
"948",16,"—","Netherlands","Bill van Dijk","Jij En Ik",8,"16th","1982"
"949",17,"—","Ireland","The Duskeys","Here Today, Gone Tomorrow",49,"11th","1982"
"950",18,"—","Germany","Nicole","Ein Bißchen Frieden",161,"1st","1982"
"951",1,"—","Austria","Marty Brem","Wenn Du Da Bist",20,"17th","1981"
"952",2,"—","Türkiye","Modern Folk Trio and Aysegül","Dönme Dolap",9,"18th","1981"
"953",3,"—","Germany","Lena Valaitis","Johnny Blue",132,"2nd","1981"
"954",4,"—","Luxembourg","Jean-Claude Pascal","C'est Peut-être Pas L'amérique",41,"11th","1981"
"955",5,"—","Israel","Habibi","Halaylah",56,"7th","1981"
"956",6,"—","Denmark","Debbie Cameron and Tommy Seebach","Krøller Eller Ej",41,"11th","1981"
"957",7,"—","Yugoslavia","Seid-Memic Vajta","Leila",35,"15th","1981"
"958",8,"—","Finland","Riki Sorsa","Reggae O.k.",27,"16th","1981"
"959",9,"—","France","Jean Gabilou","Humanahum",125,"3rd","1981"
"960",10,"—","Spain","Bacchelli","Y Solo Tú",38,"14th","1981"
"961",11,"—","Netherlands","Linda Williams","Het Is Een Wonder",51,"9th","1981"
"962",12,"—","Ireland","Sheeba","Horoscopes",105,"5th","1981"
"963",13,"—","Norway","Finn Kalvik","Aldri I Livet",NA,"20th","1981"
"964",14,"—","United Kingdom","Bucks Fizz","Making Your Mind Up",136,"1st","1981"
"965",15,"—","Portugal","Carlos Paião","Play-back",9,"18th","1981"
"966",16,"—","Belgium","Emly Starr","Samson",40,"13th","1981"
"967",17,"—","Greece","Yiannis Dimitras","Feggari Kalokerino",55,"8th","1981"
"968",18,"—","Cyprus","Island","Monika",69,"6th","1981"
"969",19,"—","Switzerland","Peter, Sue and Marc","Io Senza Tei",121,"4th","1981"
"970",20,"—","Sweden","Björn Skifs","Fångad I En Dröm",50,"10th","1981"
"971",1,"—","Austria","Blue Danube","Du Bist Musik",64,"8th","1980"
"972",2,"—","Türkiye","Ajda Pekkan","Petr'oil",23,"15th","1980"
"973",3,"—","Greece","Anna Vishy and the Epikouri","Autostop",30,"13th","1980"
"974",4,"—","Luxembourg","Sophie and Magaly","Papa Pingouin",56,"9th","1980"
"975",5,"—","Morocco","Samira Bensaïd","Bitakat Hob",7,"18th","1980"
"976",6,"—","Italy","Alan Sorrenti","Non So Che Darei",87,"6th","1980"
"977",7,"—","Denmark","Bamses Venner","Tænker Altid På Dig",25,"14th","1980"
"978",8,"—","Sweden","Tomas Ledin","Just Nu!",47,"10th","1980"
"979",9,"—","Switzerland","Paola","Cinéma",104,"4th","1980"
"980",10,"—","Finland","Vesa-Matti Loiri","Huilumies",6,"19th","1980"
"981",11,"—","Norway","Sverre Kjellsberg and Mattis Hætta","Sámiid Ædnan",15,"16th","1980"
"982",12,"—","Germany","Katja Ebstein","Theater",128,"2nd","1980"
"983",13,"—","United Kingdom","Prima Donna","Love Enough For Two",106,"3rd","1980"
"984",14,"—","Portugal","José Cid","Um Grande, Grande Amor",71,"7th","1980"
"985",15,"—","Netherlands","Maggie MacNeal","Amsterdam",93,"5th","1980"
"986",16,"—","France","Profil","Hé, Hé M'sieurs Dames",45,"11th","1980"
"987",17,"—","Ireland","Johnny Logan","What's Another Year",143,"1st","1980"
"988",18,"—","Spain","Trigo Limpio","Qué Date Esta Noche",38,"12th","1980"
"989",19,"—","Belgium","Telex","Euro-vision",14,"17th","1980"
"990",1,"—","Portugal","Manuela Bravo","Sobe, Sobe, Balão Sobe",64,"9th","1979"
"991",2,"—","Italy","Matia Bazar","Raggio Di Luna",27,"15th","1979"
"992",3,"—","Denmark","Tommy Seebach","Disco Tango",76,"6th","1979"
"993",4,"—","Ireland","Cathal Dunne","Happy Man",80,"5th","1979"
"994",5,"—","Finland","Katri-Helena","Katso Sineen Taivaan",38,"14th","1979"
"995",6,"—","Monaco","Laurent Vaguener","Notre Vie, C'est La Musique",12,"16th","1979"
"996",7,"—","Greece","Elpida","Socrates",69,"8th","1979"
"997",8,"—","Switzerland","Peter, Sue and Marc and Pfuri, Gorps and Kniri","Trödler Und Co.",60,"10th","1979"
"998",9,"—","Germany","Dschinghis Khan","Dschinghis Khan",86,"4th","1979"
"999",10,"—","Israel","Milk and Honey","Hallelujah",125,"1st","1979"
"1000",11,"—","France","Anne-Marie David","Je Suis L'enfant-soleil",106,"3rd","1979"
"1001",12,"—","Belgium","Micha Marah","Hey Nana",5,"18th","1979"
"1002",13,"—","Luxembourg","Jeane Manson","J'ai Déjà Vu ça Dans Tes Yeux",44,"13th","1979"
"1003",14,"—","Netherlands","Xandra","Colorado",51,"12th","1979"
"1004",15,"—","Sweden","Ted Gärdestad","Satellit",8,"17th","1979"
"1005",16,"—","Norway","Anita Skorgan","Oliver",57,"11th","1979"
"1006",17,"—","United Kingdom","Black Lace","Mary Ann",73,"7th","1979"
"1007",18,"—","Austria","Christina Simon","Heute In Jerusalem",5,"18th","1979"
"1008",19,"—","Spain","Betty Missiego","Su Canción",116,"2nd","1979"
"1009",1,"—","Ireland","Colm T. Wilkinson","Born To Sing",86,"5th","1978"
"1010",2,"—","Norway","Jahn Teigen","Mil Etter Mil",NA,"20th","1978"
"1011",3,"—","Italy","Ricchi e Poveri","Questo Amore",53,"12th","1978"
"1012",4,"—","Finland","Seija Simola","Anna Rakkaudelle Tilaisuus",2,"18th","1978"
"1013",5,"—","Portugal","Gemini","Dai-li-dou",5,"17th","1978"
"1014",6,"—","France","Joël Prévost","Il Y Aura Toujours Des Violons",119,"3rd","1978"
"1015",7,"—","Spain","José Vélez","Bailemos Un Vals",65,"9th","1978"
"1016",8,"—","United Kingdom","Co-Co","The Bad Old Days",61,"11th","1978"
"1017",9,"—","Switzerland","Carole Vinci","Vivre",65,"9th","1978"
"1018",10,"—","Belgium","Jean Vallée","L'amour ça Fait Chanter La Vie",125,"2nd","1978"
"1019",11,"—","Netherlands","Harmony","'t Is Ok",37,"13th","1978"
"1020",12,"—","Türkiye","Nazar","Sevinçe",2,"18th","1978"
"1021",13,"—","Germany","Ireen Sheer","Feuer",84,"6th","1978"
"1022",14,"—","Monaco","Caline and Olivier Toussaint","Les Jardins De Monaco",107,"4th","1978"
"1023",15,"—","Greece","Tania Tsanaklidou","Charlie Chaplin",66,"8th","1978"
"1024",16,"—","Denmark","Mabel","Boom Boom",13,"16th","1978"
"1025",17,"—","Luxembourg","Baccara","Parlez-vous Français?",73,"7th","1978"
"1026",18,"—","Israel","Izhar Cohen and the Alphabeta","Abanibi",157,"1st","1978"
"1027",19,"—","Austria","Springtime","Mrs. Caroline Robinson",14,"15th","1978"
"1028",20,"—","Sweden","Björn Skifs","Det Blir Alltid Värre Framåt Natten",26,"14th","1978"
"1029",1,"—","Ireland","The Swarbriggs Plus Two","It's Nice To Be In Love Again",119,"3rd","1977"
"1030",2,"—","Monaco","Michèle Torr","Une Petite Française",96,"4th","1977"
"1031",3,"—","Netherlands","Heddy Lester","De Mallemolen",35,"12th","1977"
"1032",4,"—","Austria","Schmetterlinge","Boom Boom Boomerang",11,"17th","1977"
"1033",5,"—","Norway","Anita Skorgan","Casanova",18,"14th","1977"
"1034",6,"—","Germany","Silver Convention","Telegram",55,"8th","1977"
"1035",7,"—","Luxembourg","Anne Marie B.","Frère Jacques",17,"16th","1977"
"1036",8,"—","Portugal","Os Amigos","Portugal No Coração",18,"14th","1977"
"1037",9,"—","United Kingdom","Lynsey de Paul and Mike Moran","Rock Bottom",121,"2nd","1977"
"1038",10,"—","Greece","Pascalis, Marianna, Robert and Bessy","Mathema Solfege",92,"5th","1977"
"1039",11,"—","Israel","Ilanit","Ah-haa-vah Hee Shir Lish-naa-yim",49,"11th","1977"
"1040",12,"—","Switzerland","Pepe Lienhard Band","Swiss Lady",71,"6th","1977"
"1041",13,"—","Sweden","Forbes","Beatles",2,"18th","1977"
"1042",14,"—","Spain","Micky","Enseñame A Cantar",52,"9th","1977"
"1043",15,"—","Italy","Mia Martini","Liberà",33,"13th","1977"
"1044",16,"—","Finland","Monica Aspelund","Lapponia",50,"10th","1977"
"1045",17,"—","Belgium","Dream Express","A Million In One, Two, Three",69,"7th","1977"
"1046",18,"—","France","Marie Myriam","L'oiseau Et L'enfant",136,"1st","1977"
"1047",1,"—","United Kingdom","Brotherhood of Man","Save Your Kisses For Me",164,"1st","1976"
"1048",2,"—","Switzerland","Peter, Sue and Marc","Djambo, Djambo",91,"4th","1976"
"1049",3,"—","Germany","Les Humphries Singers","Sing, Sang, Song",12,"15th","1976"
"1050",4,"—","Israel","Chocolate, Menta, Mastik","Emor Shalom",77,"6th","1976"
"1051",5,"—","Luxembourg","Jürgen Marcus","Chansons Pour Ceux Qui S'aiment",17,"14th","1976"
"1052",6,"—","Belgium","Pierre Rapsat","Judy Et Cie.",68,"8th","1976"
"1053",7,"—","Ireland","Red Hurley","When",54,"10th","1976"
"1054",8,"—","Netherlands","Sandra Reemer","The Party's Over Now",56,"9th","1976"
"1055",9,"—","Norway","Anne-Karine Ström","Mata Hari",7,"18th","1976"
"1056",10,"—","Greece","Mariza Koch","Panaghia Mou, Panaghia Mou",20,"13th","1976"
"1057",11,"—","Finland","Fredi and The Friends","Pump-pump",44,"11th","1976"
"1058",12,"—","Spain","Braulio","Sobran Las Palabras",11,"16th","1976"
"1059",13,"—","Italy","Romina and Al Bano","We'll Live It All Again",69,"7th","1976"
"1060",14,"—","Austria","Waterloo and Robinson","My Little World",80,"5th","1976"
"1061",15,"—","Portugal","Carlos do Carmo","Uma Flor De Verde Pinho",24,"12th","1976"
"1062",16,"—","Monaco","Mary Christy","Toi, La Musique Et Moi",93,"3rd","1976"
"1063",17,"—","France","Catherine Ferry","Un, Deux, Trois",147,"2nd","1976"
"1064",18,"—","Yugoslavia","Ambasadori","Ne Mogu Skriti Svoju Bol",10,"17th","1976"
"1065",1,"—","Netherlands","Teach-In","Ding-A-Dong",152,"1st","1975"
"1066",2,"—","Ireland","The Swarbriggs","That's What Friends Are For",68,"9th","1975"
"1067",3,"—","France","Nicole Rieu","Et Bonjour à Toi L'artiste",91,"4th","1975"
"1068",4,"—","Germany","Joy Fleming","Ein Lied Kann Eine Brücke Sein",15,"17th","1975"
"1069",5,"—","Luxembourg","Géraldine","Toi",84,"5th","1975"
"1070",6,"—","Norway","Ellen Nikolaysen","You Touched My Life With Summer",11,"18th","1975"
"1071",7,"—","Switzerland","Simone Drexel","Mikado",77,"6th","1975"
"1072",8,"—","Yugoslavia","Pepel In Kri","Dan Ljubezni",22,"13th","1975"
"1073",9,"—","United Kingdom","The Shadows","Let Me Be The One",138,"2nd","1975"
"1074",10,"—","Malta","Renato","Singing This Song",32,"12th","1975"
"1075",11,"—","Belgium","Ann Christy","Gelukkig Zijn",17,"15th","1975"
"1076",12,"—","Israel","Shlomo Artzi","At Ve'ani",40,"11th","1975"
"1077",13,"—","Türkiye","Semiha Yanki","Seninle Bir Dakika",3,"19th","1975"
"1078",14,"—","Monaco","Sophie","Une Chanson C'est Une Lettre",22,"13th","1975"
"1079",15,"—","Finland","Pihasoittajat","Old Man Fiddle",74,"7th","1975"
"1080",16,"—","Portugal","Duarte Mendes","Madrugada",16,"16th","1975"
"1081",17,"—","Spain","Sergio y Estíbaliz","Tú Volverás",53,"10th","1975"
"1082",18,"—","Sweden","Lars Berghagen and the Dolls","Jennie, Jennie",72,"8th","1975"
"1083",19,"—","Italy","Wess and Dori Ghezzi","Era",115,"3rd","1975"
"1084",1,"—","Finland","Carita","Äla Mene Pois (Keep Me Warm)",4,"13th","1974"
"1085",2,"—","United Kingdom","Olivia Newton-John","Long Live Love",14,"4th","1974"
"1086",3,"—","Spain","Peret","Canta Y Se Feliz",10,"9th","1974"
"1087",4,"—","Norway","Anne-Karine Ström and the Bendik Singers","The First Day Of Love",3,"14th","1974"
